species,charge_e,x_A,y_A,z_A
Cs,1.0000000000,-29.2293417426,-2.6572117001,18.6004909393
Cs,1.0000000000,-23.9149157753,-23.9149171764,7.9716381575
Cs,1.0000000000,-29.2293417637,2.6572150330,18.6004911630
Cs,1.0000000000,-13.2860633894,-29.2293433145,13.2860641672
Cs,1.0000000000,-7.9716374228,-23.9149168385,23.9149167239
Cs,1.0000000000,-13.2860637779,-13.2860642932,29.2293430924
Cs,1.0000000000,-18.6004896312,-2.6572116478,29.2293433219
Cs,1.0000000000,-29.2293418062,-13.2860650456,-13.2860661924
Cs,1.0000000000,-18.6004893106,-29.2293434075,-2.6572141111
Cs,1.0000000000,-18.6004895799,-29.2293435706,2.6572118054
Cs,1.0000000000,-23.9149157398,-23.9149173923,-7.9716402669
Cs,1.0000000000,-2.6572117298,-18.6004904132,29.2293431416
Cs,1.0000000000,-2.6572116159,-29.2293432441,18.6004905894
Cs,1.0000000000,-29.2293422284,-2.6572123103,-18.6004920957
Cs,1.0000000000,-18.6004896524,2.6572150852,29.2293435457
Cs,1.0000000000,2.6572147981,-18.6004904720,29.2293432065
Cs,1.0000000000,-23.9149160816,7.9716411004,23.9149173899
Cs,1.0000000000,-29.2293423881,2.6572138407,-18.6004920793
Cs,1.0000000000,2.6572149120,-29.2293433029,18.6004906542
Cs,1.0000000000,-29.2293422327,13.2860668347,-13.2860654435
Cs,1.0000000000,-29.2293423244,13.2860671862,13.2860650524
Cs,1.0000000000,7.9716405941,-23.9149172355,23.9149168811
Cs,1.0000000000,-29.2293423255,18.6004929326,-2.6572131150
Cs,1.0000000000,-13.2860639048,-29.2293438109,-13.2860663727
Cs,1.0000000000,-29.2293424562,18.6004933515,2.6572130088
Cs,1.0000000000,13.2860666390,-13.2860648364,29.2293433383
Cs,1.0000000000,18.6004920870,-2.6572123346,29.2293436338
Cs,1.0000000000,13.2860665764,-29.2293439284,13.2860643740
Cs,1.0000000000,18.6004919098,2.6572143241,29.2293438527
Cs,1.0000000000,-13.2860643604,13.2860675127,29.2293438363
Cs,1.0000000000,18.6004922516,-29.2293441687,-2.6572138041
Cs,1.0000000000,18.6004925894,-29.2293441867,2.6572121563
